epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_acc_2,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_acc_2,val_disc_model_3_loss,val_gen_loss
88,-2059.7375,0.22,0.71,0.77,0.0015386395,-13275.742,-23528.66834765625,0.2652400006651878,3.999999910593033e-05,0.475899997651577,0.0025331965771038085,-15507.675779296875
89,733.74426,1.0,0.0,0.0,0.0013807447,34779.934,21414.59846484375,0.9998000001907349,0.0,0.0,0.003014125191606581,33858.835546875
90,-2872.5447,0.77,0.21,0.26,0.0016956793,10870.336,-992.6188958621025,0.6519600009918213,0.0,0.17213999989628792,0.002980764565290883,10349.920680664063
91,2434.683,0.87,0.16,0.09,0.0019104077,17433.166,6216.711422363282,0.991840007185936,0.0,0.0029799999333918093,0.0027734493585303424,16949.9984296875
92,1.3587774,0.04,0.96,0.95,0.001307433,-18417.074,-18805.638826171875,0.1058999998010695,0.9194800027608871,0.9023600009679794,0.0021693854660261424,-19679.6593984375
93,701.29254,1.0,0.0,0.0,0.0011265127,8467.881,1185.7675800628663,0.9962800034284591,0.0,0.0006799999848008156,0.002263816720340401,7785.4846416015625
94,10960.767,0.8,0.32,0.29,0.0020861372,22413.873,28275.75329296875,0.7816599979400635,0.727720003247261,0.34314000168442726,0.002412874817615375,19865.38296484375
95,-390.6163,0.3,0.68,0.71,0.0013100639,4637.7583,-3338.8681939849853,0.5914599986076355,0.0,0.1907800000756979,0.002685440203407779,4302.870457519532
96,-3837.6355,0.44,0.48,0.5,0.0012338836,2761.9854,1179.3321997995376,0.5380799976587296,0.7999999990463257,0.5277999962568283,0.0025133911431767047,408.3273617155552
97,-1087.7755,0.03,0.96,0.99,0.0017460941,-15353.156,-15447.59101171875,0.01631999968737364,0.5712999975085259,0.7543800002336503,0.002402953288052231,-16813.0214453125
98,-3639.519,0.78,0.22,0.18,0.0015083238,14838.035,3894.9568066711427,0.7706399985551834,0.0,0.10279999991133809,0.0038276887680403888,14653.54140234375
99,-1572.9827,0.45,0.49,0.56,0.001855109,4038.1091,-14002.3864453125,0.4660399971604347,0.0,0.22123999965190888,0.004073772779665887,2778.7475380859373
